,all_full
43,"i don't really like summarizing myself; but who does, right? seems like every time i try i come up with a pile of contradictions. i'm a shy extrovert i'm a grounded dreamer i'm a lazy adventurer i'm open-minded, but sometimes stubborn i'm a city person, i'm a mountain man i can be very competitive, but try to avoid competition i'm very social, i'm a bit misanthropic i'm generally very meticulous, i'm often sort of careless i have a strong sense of self, i'm a social chameleon i have complete confidence in myself to succeed at whatever i do, yet i'm often terrified of failure/letting others down. a lot of my best friends didn't like me when they first met me. but when they took the time to get to know they figured out that i'm actually a very caring, entertaining, giving, honest, loyal, patient, playful, open, and stimulating companion. of course others love me at first sight and never stop. so maybe you should just see for yourself.  i am clever, creative, and complicated
spending a lot of time building things. a business, a house, and lots of other little things. trying to make the world a better place in small but perceptible ways. meeting new people, spending time with friends, looking for new adventures. my latest adventure is that i bought a house that most people would consider uninhabitable, but i'm moving in anyway. now if i could only find time to work on it.
designing and making things using my hands. thinking of creative solutions to problems (but i'm not so good at identifying problems) coping with chaos
i've never figured out the answer to this question. it really depends on who the other person is and what i'm doing when they meet me.
books: almost anything by vonnegut or steinbeck, recently enjoyed reading dave eggers' s.w.o.h.g., a few murakami books, 100 years of solitude, time traveller's wife, the art of happiness, world according to garp, tibetan book of living and dying  movies: (an incomplete sampling in no particular order) fight club, jacob's ladder, ferris bueller, fish called wanda, true romance, blazing saddles, cool hand luke, donnie darko, amores perros, y tu mama tambien, harold & kumar, shawshank redemption, altered states, baraka, my neighbor totoro  music: (roughly in order) electronica, indie, 80s new wave & alternative, breaks, old school hip-hop, bhangra remixes, some house, jazz, classical, classic rock sometimes  food: cheese! followed closely by mushrooms, bacon, and butter. my favorite restaurants are generally indian, sushi, thai, mexican and pizza. i'm always ready to try something new.
ignoring the obvious (air, water, food, shelter, etc) cheeeeeese my motorcycle my bicycles freedom a fully (or at least mostly) functional body and mind sex
how to build things/make things better the cosmos and our place in it philosophy psychology the end of the world as we know it why people can't get along better how to be a better person myself
there is no typical night for me. sometimes at home designing/building, at dinner with friends, out dancing, on my way to the mountains, playing games or cards with friends, out on a date, eating pie and reading, watching a movie
i have no secrets i won't tell you, but you have to ask the right questions (caveat: i won't tell you other people's secrets, only my own)
...you're still reading. at least say hello.  especially if this comes close to describing you... you never want to stop expanding your mind, learn a new skill, a new language, read about new things, and try them. you are a dreamer and a doer.  you are an adventure seeker. and you find them wherever you go. sometimes the small ones like the impromptu bonfire on the beach or exploring an abandoned building, sometimes the big ones like taking off to travel for a few months. life excites you and always will. this world is an amazing place and although it's too big for anyone to see in entirely, you're excited to try. you're looking for someone like me who shares that energy, that curiosity, that lust for life that burns inside you, because adventures are often more fun when shared with others.  you live your life out of the mainstream, but not averse to jumping in every now and then to see what the rest of the kids are doing. you think about everything from morality to the nature of reality and have your own views on topics instead of blindly following social conventions.  you have made mistakes in your life. you learn from them and move on.  you are beautiful inside and out. not in the stuart smalley ""i'm good enough and i'm smart enough and gosh darnit, people like me"" way. you know from the depth of your being that you are an amazing individual and you're looking for someone who can appreciate everything you are. you probably still worry sometimes about what people think of you, but that's only because you surround yourself with other intelligent, creative, interesting, physically fit people like yourself. who doesn't occasionally get intimidated in that company?  you appreciate the physical beauty of the human body. you are a very sensual being. human touch is very important. hugs, kisses, massage, and sex. people skirt around the topic of sex all the time, but lets face it, sex is a very important aspect of a relationship for someone like you or me and there's no point wasting our time in a situation where the sex is less than phenominal. i'm excited to hear about your turn-ons and fantasies.  money is not really an issue for you - not because you're obscenely rich, that's not really important. i just mean that you have no trouble making the life you want for yourself. you appreciate that we are a very gifted, fortunate people to live as we do.  you give back to this wonderful community you live in.  you love to keep in shape by doing things, as opposed to just going to the gym for an hour a day. mt biking, rock climbing, surfing, kite surfing, running, hiking, snowshoeing, telemark, snowboarding, road biking, swimming, tai chi, qigong, and yoga all sound interesting to you even though you haven't tried them all yet. maybe you won't even like all of them, but at least you're excited to give them all a try.  you are not a serial monogomist. you are independent and comfortable being alone. it's fun to date and meet new people, but you're not going to settle for anything less than you deserve. ultimately you crave a relationship you can commit to for the rest of your life. you are looking for a loving relationship based on good communication and trust.  eventually you might want a family, but you're in no hurry."
48,"i love it here, except when it's hotter than a camel's hump. at that point, i just have to jump in a pool and get wet. i love the coooooooool cool waters of the greenbelt. i spend a lot of time with my head in the clouds. sometimes....i think about ann hathaway receiving sex in her butt hole. (bess celeb joke ever)  i usually split my time between austin and portland, but i like to travel all around the dang place.
being feisty, rocket science, biochemistry, astrology (j/k), dancin around naked, loving life.  oh, and i make comedy shorts for youtube now. music videos to... blow...your...minds.
scrawling things on paper, making stupid stupid web pages. daydreaming about food, travel and sex...yeah i said it...traipsing around most always scantly clad cause it's better that way! annnnnnnnnnnnnnnd making videos, videos, videos, duh!  here's a recent one...but i'm not sure your brain can handle it? it's a faux music video i like to call  http://bit.ly/technolemonade  i free-styled and sang the lyrics too...yep, that's my real german voice. should i go out for american idol or eurovision or both? hahahahhahaha i said eurovison.
my big beautiful lips that will never need collagen injections. i'm hilarious & have been told by several idiots that i'm too smart to be a woman. big tits, big brain. if you got it, flaunt it!  where are all the sexy, funny, confident gals at? seriously.
music: philip glass, sonic youth, rebecca black, david bowie  shows: metalocalypse, toddlers & tiaras, tim & eric, my strange addiction, supersize vs. superskinny  movies: debbie does dallas, the girlfriend experience, edward penishands, citizen kane  food: koriente, via 313, homeslice, pho van, lick, 888, uchi, bar chi (austin), pok pok, screen door (portland)
vegetables (though i love meat more...i think...) vintage (big collector of all things vintage) (fuck new shit!) colors (crazy for colorful patterns) sex (why isn't this on everyone's list) silky things (yes please) music (come on)
making things,making things,making things,making things,making things,making things,making things,making things,making things,making things.................................................
kickin' in the front seat sittin' in the back seat gotta make my mind up which seat can i take?
wow, ok...let's see...i've had sex with 5 big time celebrities. i'm legally bound by contracts that their names shall be stricken from my lips.  this question is mentally challenged
if you dare to think you can make me laugh. nothing's more important than a sense of humor...and big d...imples.  i love a great smile.  i like getting messages with your opinion on my video. this is the second video i have ever made. i'm very new to this. ^_^ therefore i really like hearing your thoughts on my work. go easy but yes....tell me your thoughts, i am open. dupid link below!  http://bit.ly/technolemonade  i made this video for a contest, which i have become a finalist in. it's fucked up....but i might win $20,000. i'm in the top ten. i get ass loads of attention on here so why not tell ya'll about it. i'm trying to pay my rent up so i can make more crazy shit for the world...eventually sustain myself from it. it's got to be possible? right? i mean...if katy/rick? perry can do it...can't we all? i'm far from rich so the idea of winning is literally magic. if'n by now you've realized that my video is probably more awesome than my pictures you'll soon be clicking, to see.......... if you've been had? is she real?  please click the big green vote now button that is key and it takes 2 sexs, no signups, no dumb shit...just a click...i'm just sayin.  help an artist realize her dreams before she becomes old and decrepit.  i'm deeply appreciative of any support! thanks to anyone that cares!  also i like hearing about strange okcupid encounters...am i the only person who meets a lot of people off this site? it's fun...annnnnnnnnnnnnnnd"
50,"i'm going to start right off breaking into song.  nina simone says it better than i can type: http://www.youtube.com/watch?v=cja69c6slrk
i'm a go-getter, but i'm also a world class relaxer. i'm happy living in the woods, and happy working in the city as a digital artist.  i believe we can have it all.  i am looking to meet a kind and happy spirt that feels the same.
serving delicious food. telling entertaining stories. listening intently. working hard and enjoying it. figuring out how things work. being up for adventures. laughter.
my eyes, my sense of humor, my impeccable taste in friends and associates.  also that i am cool :)
this is a funny section, because these things won't matter much if we really click. if i really like you, i will probably find it endearing that you like things i don't. who knows, we may even broaden each others horizons.  adventure. magazines. historical pictures. diy guides.  twin peaks. deadwood. breaking bad. mad men. secrets from a stylist. modern family. the colbert report.  music and movies? hell yes. let's go anytime.  csa veggie box. oysters. anything cooked over fire. beer. wine. cocktails. ceviche. al pastor. curries. homemade pickles.
hoodies--6 of them at least.
the littlest things are catapulting me into daydreams of far away and close places. i could go just about anywhere right now. i want camp fires in the foggy north coast. hot springs in the andes. dusty climbing in the southwest desert. rum punch and dancing in the caribbean. and you are there too. and we can't wipe the smiles off our faces, but we wouldn't try anyway.
friday nights are not typical. monday, perhaps, is a creature of habit, but friday is a lady of mystery and intrigue. sometimes she wants to dance the flamenco, and others she wants to curl up at home by the fire. either way, i'm in.
i'm waiting to be stuck by lightning, waiting for someone exciting--like you.  http://www.youtube.com/watch?v=o3ckfvymcwm --camera obscura.
you want to go on a date with a bay area local who loves to eat, drink, be active, and merry.  please feel free to send me a little note. i know you are amazing, and i look forward to learning all about you.  thanks for reading!"
52,"i'm a free culture nerd. i travel, talk, and teach.
i've been rock climbing a lot lately. i've been in and out of the city constantly, traveling random places in the world, and hope to continue that for a while. i always try to find a fun place to climb wherever i go.
ping pong, mixing cocktails, and cooking.
my eyes or maybe my charisma, depending on what setting i'm in.
books:  most david sedaris most christopher moore most bukowski most asimov oryx and crake dune ender's game hitchhiker's guide to the galaxy  movies:  being john malkovich children of men star wars (the originals - the prequels can die in a fire) lost in translation the big lebowski the royal tenenbaums the life aquatic  food:  everything. it's also my favorite thing about visiting a new country.
traveling good food good drinks good people a thirst for knowledge entertaining books gratuitous seventh items
where i'm going to travel next, and what amazing people i'm going to meet in those places.
out with friends and/or coworkers having fun.
i once twisted my ankle while djing. it's ridiculous, i know.
you are interested in hanging out somewhere in san francisco."
59,"when it comes to my own life, i do as i please, but i am generous to friends and loved ones. i am loyal to a fault and a fun-loving guy on the surface but below lingers much, much more.  i am adventurous, optimistic, and open-minded.
i read books, soak up as much sun as humanly possible, i look forward to new adventures by myself or with good friends, i push the credo of diy to the max. i am curious about everything so i like to figure out how people and things operate. in the past year i've done a bit of traveling, took swimming classes, done day trips around the bay area on my bike, and maintained a volunteer bike educator position at a mission non-profit.
conversation, analyzing movies, spelling and grammar (but i'm not a grammar nazi), laughing at myself as well as absurdity.
people generally can't discern my ethnicity...i get hawaiian, samoan, or any other variety of pacific islander a lot and on occasion got half-black and (insert guess here). my friends comment on how approachable i am.
a short list:  the awakening of intelligence, one hundred years of solitude, the stranger, the unbearable likeness of being, meditations of marcus aurelius, on the road, edgar allan poe, pablo neruda.  the dreamers, irreversible, city of god, city of lost children, delicatessen, 2046, 8 and a half, snatch, trainspotting, the princess bride, harold and maude, vertigo, 12 monkeys, the killing fields.  muse, roger sanchez, dieselboy, pearl jam, led zeppelin, radiohead, beck, kings of leon, css, ingrid michaelson, buena vista social club, sublime, my morning jacket...  i am a foodie...i give everything a chance!
my bicycle, my cell phone, my laptop, food and water (obviously), laughter, and a good book.
finding balance in all aspects of my life. also, i continuously daydream of exploring far off lands, whether it is lazing about on a beach or treading through a southeast asian jungle
i jumble in between extremes a ton. at the root of my psyche, i am a dive bar with a whiskey and beer kind of guy. however, i'm just as comfortable at home with a book or on my xbox or an some after hours spot dancing to what the dj is spinning. i hate doing the same thing more than once but sometimes i can't get enough of the same thing.
i list dirty dancing as one of my deep down, guilty pleasures.  ""nobody puts baby in a corner.""
-you like bike riding. if you're a swimmer, that's awesome too! -you are a bit of a geek who doesn't mind getting her hands dirty. librarian glasses are a plus! -you are defined by more than what you do with your life. my collection of friends are serious in their careers but know how to have fun too. i don't have many expectations but this would definitely be one of them. -you like going out and are not a perpetual homebody. -you daydream of travel as well! :)"
63,"i'm from bucks county, pa. when i was a kid, i could walk to the end of my street and feed cows. over time i watched the area give way to suburban sprawl, and i'll bet that's where my desire to preserve, maintain, and help out began. since then, i've lived in philly, costa rica, and now the gorgeous west coast. the things that are really important to me are: my friends, my hobbies (photography, cooking, gardening), my health, creative expression, doing something that helps people, my students, sustainable food, urban agriculture, intellectual stimulation, spiritual development, laughter, peace.
english teacher, studying hypnotherapy, founder and active member of a community garden club, part time professional photographer. i would really love to live on a farm someday.<--- yes. my true dream among dreams is to find my guy, run away, and live a beautiful rustic down home country life that still has access to big city jobs and nightlife/culture. is that asking too much?
teaching, photography, going after what i want, creative projects, cooking, pie eating contests (1st place at the county fair when i was 10, bitches), conversation, dancing and having a good time. i'm sort of a jack of all trades in that i can do a lot of things relatively well, but still not sure where my true passion lies. not so good at filling out questionnaires about myself.  look at some of my photos here, if you'd like http://www.flickr.com/photos/-nicspics-/
probably my high energy and curly hair.
yikes what an exhausting question. i usually have at least 5 books checked out of the library at any given point in time. i do love kurt vonnegut and jon krakauer. i think orwell was a genius. i have an active and growing record collection and one of the things i really like to do is get lost in amoeba. i especially dig soul, classic rock, and bluegrass. as for food, again i like it all and cooking is a big hobby for me. yeah, this is a cop out for the question. i could list a gazillion items, but why? just ask me. better yet, let's go pick out a record together, and then listen to it with a glass of wine. outstanding.
my friends, a camera, a record player, a garden or access to one, a lap top, and coffee.
the next big adventure. how to transform neglected pieces of public land into active gardens. how i can combine everything i love to do into one super mega ultra job. how can i best use my energy and skills to help out? can i inspire others to do the same?
up to no good.
i geek out on zombies, sci fi, and conspiracy theories. whew felt good to get that off my chest. also, sometimes i can be really spacey. it can be embarrassing, really. sometimes i will straight up zone out and go into la la land and not hear a word you say. im just an avid daydreamer and always have been. just snap your fingers as hard as you can in front of my face and that should clear up the problem right quick :-)
you are an open minded and curious person who won't be weirded out by abstract conversations."
65,"i really like meeting new people. small-world networks fascinate me.  beer is important. without beer, there would be no civilization.  somehow i can only sing spanish, but not speak it. i suppose music is the universal language?  coffee enthusiast.  why am i the only one singing when riding my bike around the mission?
i'm a scientist of sorts, doing some interesting things at a startup downtown. i love it, ask about it if you like. signal processing - machine learning - vision - data (all sizes)
talking, if you get me on the right subject. escalators (both directions). retweeting. coming up with terrible-joke paper titles (that we then actually use in publication).
i am a coffee nerd.  ojal que llueva caf!  locally brewing/drinking four barrel - ritual - verve - de la paz - wrecking ball (when i can get my hands on it) i typically prefer to brew out of a sock (well, no, not that kind of sock).
food: i'm not a strict vegetarian but i don't eat mammals. i love bread so i bake it (there is usually some pte fermente hiding in my fridge). a foodie.  books: from bauhaus to our house, anything by philip roth, the information (at least for its historical content), hayek, orwell's 'politics and the english language.'  music: tom waits, radiohead, grizzly bear, beck, cafe tacuba, dr. dog, neutral milk hotel, sigur ros, & 90s alternative (pumpkins, etc.).  tv: 30 rock, parks&rec, the league, community, southpark, peep show (the britcom :/ ), madmen, portlandia, colbert, a few competition shows, e.g., top chef. i watch shows that are available on hulu or the web.  i do like movies but never remember which. surely anything by the coen brothers. lately i've been having a lot more respect for nicolas cage (see here: http://www.youtube.com/watch?v=xp1-oquwol8).
wikipedia coffee bread, bagels, and the other canonical starches music good conversation friendsgiving
i think last names are interesting.  lately i've been thinking a lot about what kinds of fun features i can build into our product at work.
baking challah, then usually out with friends. if you've never tried it, avocado is an optimal pairing for challah.  an ideal typical night involves beer and good company. i like beer bars like toronado/sycamore/beer revolution/the trappist, local bars like shotwells/evelyn, and any cocktail place that does it right, you know, like its 1890 (e.g., the hideout/15 romolo/alembic).  really though, why wait for friday? any night of the week can be good for going out or doing something interesting at home with friends. soapbox party?
i watch sytycd.
you want to - check out a food pop-up - introduce me to a really great beer bar that i may not have yet found (or bakery for that matter) - get a cup of coffee - find out more  or a bike adventure around the city!"
67,"above all else i am, and always have been, a good girl. being a good girl is everything. it means being honest and true. it's beyond conventional definitions of being good; it's being real, whole and more than anything else being present. it's more than simply ""being"" good; it is rather being available as you really are, never someone you're trying to be. it's having a raw kind of vulnerability and commitment that few people actually attempt. it means pushing beyond your old comfort zones into something more vital. it's not easy to be a good girl, but it is also not a choice. 
i am currently studying early childhood development and would like to work with preschool aged children. other than that i am positive about the fact that i do want to start a family soon. after finding partner of course, not by myself. as a woman i know my purpose is to create a loving and positive environment for my family to prosper. that would make me happy and that is what i consider success.
always being true to myself, and making no apologies for it.
i dunno... a lot of people point out my good posture. go figure.
books: lately a lot of my reading has been for school. i find that most of the reading i do now is not for pleasure, it is more uploading information and filling in the gaps of knowledge to help me navigate through my life a little easier. not to say i do not enjoy it, but it is not the same as when i was a kid. i recently moved and so had a chance to pull out some childhood favorites to re-read. including anything by zilpha keatley snyder, the giver, a wrinkle in time, the changeling, flatland, invisible man, black boy, & moliere's school for wives to name a few.  movies: not a huge movie fan, the last movie i saw in a theater was umm... mama mia? not by choice, i took my mom when i was visiting a few years ago. all i remember from it is that young blonde girl. she is gorgeous, and the entire film all i could do was stare at her lips. i'm not into chicks, but her lips are perfect and if i ever got an opportunity i would of course kiss them. oh, right - movies, so the movies i like are varied and will probably give you no clue into my personality but here goes: labyrinth, a clockwork orange, empire records, clerks, across the universe, apocolypse now, sleepers, malibu's most wanted, chitty chitty bang bang, p.s. i love you, and other random movies i saw on a whim or at a friends and was inspired by.  music: i love all types of music from classic rock to folk, hip-hop & some rap to oldies & funk, modern rock and occasionally drawn to electronica or dance. the beatles, crosby stills nash & young, janis joplin, led zeppelin, alice in chains, inxs, weezer, the offspring, audioslave, 311, stp, velvet revolver, metallica, red hot chili peppers, system of a down, tool, mason jennings, delta spirit, the fleet foxes, arcade fire, poe, george clinton, cammeo, hussulah, mac dre, dre dog, too short & countless other artists found randomly included in the soundtrack of my life for any and every reason imaginable.  food: i am a healthy eater naturally. i really try to avoid franchise or chain restaurants at all costs - simply because i find them horribly impersonal and they give me flashbacks of my many days as a serving robot. i love to find the mom & pops type small restaurants that serve large portions of food i can neither pronounce or recreate at home. these are nearly extinct in silicon valley so i generally choose to cook at home and love the atmosphere it creates. good friends, a bottle of wine, music, laughter and hot food sizzling on the stove is my idea of a perfect friday evening.
love hope faith family (no matter what i try, i cannot seem to escape them : ) bubbs (despite his neediness) laptop
how i should not spend so much time in my head thinking. my fears, both rational or irrational and how to overcome them. how to get the world back on track and restore fairness : ) my shortcomings and ways to improve them. how i can be more patient choosing my battles wisely and not letting my principles get in the way of opportunities and ultimately success. how to be less self-righteous and more accepting of others. how to both forget and remember the past, and when each is warranted. how to truly live my life in peace as is detailed in the peace prayer by saint francis assisi. how i should not spend so much time thinking!
usually i am studying, working on any number of projects, cooking dinner or sharing dinner with friends. nothing special but always enjoying myself and whatever company or plans i have.
i suffer from a debilitating disorder that forces me to disclose my thoughts and feelings, even when i should keep them to myself. some find this refreshing, others think it's rude. i wear my heart on my sleeve, so you never need to guess what i am thinking. i am direct and assertive and prefer people who are the same (at least with me). i can't imagine anything 'more' private that a stranger would want to know, but go ahead and ask - odds are i'll answer.
you are compelled to in any way and want to get to know a genuinely good girl. or if you are still trying to figure out who in the heck is bubbs? : )"
68,"i slept and dreamt that life was joy. i awoke and saw that life was service. i acted and behold, service was joy. rabindranath tagore
living deeply, laughing frequently at just about anything. (i believe in nothing / everything is sacred i believe in everything / nothing is sacred) counting my blessings often on all twenty fingers and toes. digging on the sheer beauty & richness of existence. talking to strangers. dreaming. making poems. shooting portraits. collage, painting, sculpture, beading, weaving, knitting. massage.
ecstatic dancing. communication. making deliciousness out of what is around me. battles of will. creating spaces, gatherings & happenings. navigating by intuition. appreciating natural beauty. banter. creative play. all things sensual and fiery. sex.
""protection has lived in many kinds of houses. always the walls are decorated with rugs and blankets from around the world. she has studied ancient architecture and the habits of butterflies and spiders. when the caterpillar is dying and the new butterfly is yet to be born, it constructs a chrysalis. we also have this need. however, many of us are too proud or have forgotten how to go inside. protection has learned from the butterflies how to make a chrysalis for the changing human heart.""  ""courage has roots. she sleeps on a futon on the floor and lives close to the ground. courage looks you straight in the eye. she is not impressed with power trippers, and she knows first aid. courage is not afraid to weep, and she is not afraid to pray, even when she is not sure who she is praying to. when courage walks, it is clear that she has made the journey from loneliness to solitude. the people who told me she is stern were not lying; they just forgot to mention that she is also kind.""  ""compassion wears saturn's rings on the fingers of her left hand. she is intimate with the life force. she understands the meaning of sacrifice. she is not afraid to die. there is nothing you cannot tell her. compassion speaks with a slight accent. she was a vulnerable child, miserable in school, cold, shy, alert to the pain in the eyes of her sturdier classmates. the other kids teased her about being too sentimental, and for a long time she believed them. in ninth grade she was befriended by courage. courage lent compassion bright sweaters, explained the slang, showed her how to play volleyball, taught her you can love people and not care what they think about you. in many ways compassion is still the stranger, neither wonderful, nor terrible, herself, utterly, always. ""  (from the book of qualities)
""wings of desire"" (german film by wim wenders) i heart hukabees the men who stare at goats shop girl superbad benny & joon labyrinth
i can do without.  i value: 1. my hands. 2. other people, exchanges, connecting. 3. nature, especially trees and water. 4. my meditation practice, ritual. 5. dancing. literally and metaphorically. 6. (guess)
i rarely think, it's over-rated ; )
the answer to each moment must be yes.
i am an open book, i do not like secrets. if i am down with your eyes, the way you move and speak, i will most likely tell you anything you care to know about me.  ""the truth is my shield."" - henry rollins
you feel compelled."
69,"i think i may be one of those twentysomethings you read about in the new york times who took so much longer than their parents did to get their lives together. thankfully, things have progressed magnificently in the last couple years, and i'm proud to say that i again feel cool enough for online dating.  i'm in a master's program for counseling psychology and am entering my second year of clinical training, which means i am actually being entrusted with the emotional well-being of strangers. it is astonishing, profound, peculiar, transformational work that i find deeply gratifying. but don't worry: i've retained my taste for the absurd, and eventually do tire of talking about feelings.  because everything sounds better in list-form, the following are some arbitrarily chosen facts about myself:  (1) i can win staring contests with cats. (2) in my off-hours i read, exercise, converse, study, garden, meditate, do arty things, and plan lots of projects that i only sometimes start and almost never finish. (3) i own three chess sets, but don't play chess. (4) in people, i like a precise mix of church giggles and smoldering contemplation; my friends, failing to achieve the impossible, tend to gravitate dramatically toward one extreme or the other. (5) i am deeply offended by bad art, and i'm not sure why. (6) i am not above eating an entire plate of kale and then going to smoke a cigarette. (7) i can yawn without moving my face. (8) i have a contradictory blend of intense compassion and utter self-absorption. (9) i enjoy silence, but not in elevators. (10) i have been a beginning yoga student for 8 years. (11) i can never seem to stand up straight, but when i do: watch out. my height has been described by some as ""gangly"" and others as ""elven"", which to me are two very different things. i have also been told i resemble a ""bundle of sticks."" (12) my best friend once told me that if i turned out to be a figment of her imagination she wouldn't be surprised, which we agreed was both an enormous compliment and a colossal insult. (13) my pet peeves include people who make noise in movie theaters, a lopsided pasta/sauce ratio, and those who take a really long time in single-occupancy public restrooms even though they know others are waiting because the door handle has jiggled like seven times. also, i think people who feel they're too good to bag their own groceries are disgusting. (14) ""winged migration"" has been in my netflix queue for 4 years. (15) i have 35 plants in my room, a la max from where the wild things are. (16) i am happy with my life, and it'd be swell to share it with someone. (17) i don't talk about myself this much in person.
announcing my place in the family of things.
making photographs, empathy, being single, making and breaking resolutions, having and forgetting revelations, reading online synopses of horror film plots but refusing to see the films themselves
my empathy. just kidding! my height.
music: rodrigo y gabriela, andrew bird, the knife, vampire weekend, tough alliance, chris thile, radiohead, tori amos, fiona apple, the arcade fire, mia, elliot smith, cibo matto, schubert, korsakov, bjork, dar williams, philip glass, bach, lhasa de sela, the flaming lips, the shins, jason mraz before he sold out, ani difranco, dvorak, cat power, skrjabin, metric, chopin, lily allen, mew, scott matthew, the ark, the decemberists, thievery corporation, tom waits, cake, camera obscura, bloc party, kate bush, wilco, sufjan stevens, neko case, regina spektor, the white stripes, the cure, madonna, portishead, pinback, interpol, joanna newsom, six organs of admittance, little joy, dead can dance, new order, cocteau twins, beck, kylie minogue, billie holiday, rufus wainright  films i like: children of men, the hours, adaptation, you me & everyone we know, labyrinth, hedwig and the angry inch, amelie, harold & maude, contact, lost in translation, aliens, all about eve, romy & michelle's high school reunion, i heart huckabees, the blair witch project, the first two x-men movies, donnie darko, fight club, mean girls, the diving bell and the butterfly, the family stone, angels in america, lord of the rings trilogy  literature i like: a brief history of nearly everything, letters to a young poet, the rebel angels, infinite jest, the handmaid's tale, the hitchhiker's guide to the galaxy, pale fire, going after cacciato, where the wild things are, still life with woodpecker, middlesex, the house of the spirits, steppenwolf  tv i like: 30 rock, battlestar galactica, planet earth, futurama, in treatment, glee, the comeback, the x-files, the west wing, lost, the simpsons, the daily show, the colbert report, america's next top model, buffy the vampire slayer, firefly, weeds, six feet under, sifl and olly, animaniacs. as a kid i really liked the show ""silk stalkings.""
peanut butter, npr podcasts, friendship, harper's index, meaningful work, time.
what i'm going to name my next cat (branciforte if a boy, famke if a girl? also in the running: consuela). psychological theory and how people heal. upcoming possibilities. how to maintain hope in america's future when so many americans are so stupid. great tv. whether i am actualizing the potential of my youth. school. health. the godlike power of habit. why vegetarianism makes people so defensive. sex. where i will be in a year - in every sense. people i love, and why.
this question is biased in favor of fridays.
for reasons beyond my understanding, i attract an inordinate number of spiders. also, i can't snap.
i suppose i'm looking for someone slightly odd, who has at some point had trouble molding himself to the contours of our society and gay culture. i am drawn to men who are kind, intelligent, cute, and have some depth to them.  i'm also looking to expand my circle of gay male friends, which is currently restricted to partnered, highly domestic men. i'm happy for them, but it'd be nice to meet some guys that are a bit more active/interested in exploring the great gay yonder."
73,"i'm an easy-going person with a genuine appreciation for life and the people i encounter in it. i enjoy social frolic and solitary reflection alike, and i can find humor in almost every situation.  i'm a bay area native, and i have massive pride in this place for its awesome food, weather, diversity, and politics.
writing, performing/composing music, watching nbc comedies and random films on netflix, eating hella much, reading, trying to stay fit, and spending quality time with my friends and fam.  and working for money too, on a freelance basis.
whistling, writing, doing three-point turns, creating & decoding acronyms, and coming up with motivational games.
well, that depends more on you than on me. what say?
books - some recently appreciated ones are: is everyone hanging out without me? (and other concerns) by mindy kaling, the hunger games by suzanne collins (only read the first one so far), immortality by milan kundera, and tuff by paul beatty. i also like anything by david sedaris and oscar wilde.  movies - bill & ted's excellent adventure, kuch kuch hota hai, big man japan, and most fluffy rom-com type things, even though their weak sauce female characters and gender politics in general piss me off. other recent things i've seen and enjoyed on netflix: viva cuba, tie me up! tie me down!, and today's special  shows - the office, parks & rec, modern family, how i met your mother, gossip girl, anthony bourdain's no reservations  music - bollywood, pop, hip hop, indian classical  food - god, i fucking love food: pizza, ethiopian, thai, indian, burgers, pasta, fondue, french-vietnamese fusion, or whatever. i understand the socio-political significance of organic and locally sourced food, but i am not a food snob, and i can totally rock chain restaurants too.
water, dairy products, a sense of community, a creative outlet, clothing (not for modesty, but to keep my body at the appropriate temperature), and a daily shower.
ways to amuse myself and others.
getting a fabulous dinner, chilling at a mellow lounge/bar, watching a play or movie, and/or kickin' it indoors with good friends, good eats, and good music.
ask and i'll tell you pretty much anything.
- you are looking for a long-term relationship with the right person. - you invest more energy into nourishing what you have than clamoring for what you don't have. - you like to eat and drink. - you are responsible toward yourself and others. - you want to meet in person before (or instead of) adding each other on chat/facebook. - you know how to treat a woman once you have met her."
74,"i can be extroverted and charming and yet enjoy living alone in my sanctuary of an apartment. i have a strong and dominant personality that is tempered by deep and stable emotions. i am comfortable with myself and my flaws and am not above trying to work at self betterment. i'm looking for a unique woman who is modest about her beauty, values a healthy and active lifestyle, and is independent but willing to open up to a little dependence.
i work at an elementary school in oakland as a tutor in writing, reading, and math. during the summer i work for a contractor (painting, electrical, plumbing, etc). i'm pretty freakin handy around the house. in a year or two i will maybe go back for my phd. but, for now i'm just relaxing and trying to do all the things i enjoy doing.
getting along with almost anyone, reading, yoga, skiing, biking, hiking, massage, cooking (at times), writing, enjoying good food, cuddling, and waiting until the very last minute to do stuff.
i have a robust personality
to many good books to mention. but, i'd be a liar if i said i didn't just re-read all the harry potter. that's right. some favorite movies are amadeus, shakespeare in love, heat, last of the moicans, kill bill, shawshank redemption, star wars iv-vi, dances with wolves. love battlestar galatica. i love all foods, but sushi and most foods with cheese hold a special place in my heart
good books, good food, romance, learning, blue jeans, and challenges
how to get wawa to expand to california and when and where i'll travel next (possibly thailand this summer)
often unwinding from a week with kids with some yoga. maybe reading a good book at a cafe, playing boardgames with friends, eating at a new restaurant or seeing if netflix has something new to offer. every blue moon i may make an appearance out on the town.
i was born in new jersey
you read my profile in its entirety and are interested"
